image_path,steering,speed,source,sequence_key,chunk_id
data\training_data\6647.png,85.0,1.0,csv,csv_000006647,13
data\training_data\10008.png,89.375,0.0,csv,csv_000010008,19
data\training_data\1365.png,85.0,1.0,csv,csv_000001365,2
data\training_data\4347.png,80.625,1.0,csv,csv_000004347,8
car\data\drive_frames\1773066025265_65_35.png,65.0,35.0,drive_frames,drive_1773066025265,29
data\training_data\2235.png,93.75,1.0,csv,csv_000002235,4
data\training_data\3663.png,89.375,1.0,csv,csv_000003663,7
data\training_data\7043.png,85.0,1.0,csv,csv_000007043,14
data\training_data\3782.png,58.75,1.0,csv,csv_000003782,7
data\training_data\11264.png,98.125,0.0,csv,csv_000011264,22
data\training_data\12572.png,85.0,1.0,csv,csv_000012572,25
car\data\drive_frames\1773147867734_80_35.png,80.0,35.0,drive_frames,drive_1773147867734,31
data\training_data\6629.png,50.0,1.0,csv,csv_000006629,13
data\training_data\5824.png,85.0,1.0,csv,csv_000005824,11
data\training_data\10337.png,63.125,1.0,csv,csv_000010337,20
car\data\drive_frames\1773065769970_75_35.png,75.0,35.0,drive_frames,drive_1773065769970,29
data\training_data\12888.png,106.875,1.0,csv,csv_000012888,25
data\training_data\10255.png,80.625,1.0,csv,csv_000010255,20
data\training_data\1308.png,85.0,0.0,csv,csv_000001308,2
data\training_data\5945.png,58.75,0.0,csv,csv_000005945,11
data\training_data\5604.png,76.25,1.0,csv,csv_000005604,11
data\training_data\13380.png,85.0,0.0,csv,csv_000013380,26
data\training_data\8511.png,63.125,1.0,csv,csv_000008511,16
data\training_data\10247.png,85.0,1.0,csv,csv_000010247,20
data\training_data\5766.png,89.375,1.0,csv,csv_000005766,11
car\data\drive_frames\1772210043285_90_35.png,90.0,35.0,drive_frames,drive_1772210043285,29
data\training_data\3695.png,85.0,0.0,csv,csv_000003695,7
data\training_data\7447.png,93.75,1.0,csv,csv_000007447,14
data\training_data\11100.png,102.5,1.0,csv,csv_000011100,22
data\training_data\11452.png,93.75,1.0,csv,csv_000011452,22
data\training_data\11915.png,102.5,1.0,csv,csv_000011915,23
data\training_data\14346.png,63.125,1.0,csv,csv_000014346,28
car\data\drive_frames\1773148003278_80_35.png,80.0,35.0,drive_frames,drive_1773148003278,31
data\training_data\2995.png,85.0,1.0,csv,csv_000002995,5
data\training_data\9809.png,102.5,1.0,csv,csv_000009809,19
