image_path,steering,speed,source,sequence_key,chunk_id
data\training_data\508.png,85.0,0.0,csv,csv_000000508,1
data\training_data\509.png,89.375,1.0,csv,csv_000000509,1
data\training_data\510.png,85.0,0.0,csv,csv_000000510,1
data\training_data\511.png,80.625,1.0,csv,csv_000000511,1
data\training_data\512.png,89.375,1.0,csv,csv_000000512,1
data\training_data\513.png,85.0,0.0,csv,csv_000000513,1
data\training_data\514.png,98.125,1.0,csv,csv_000000514,1
data\training_data\515.png,85.0,1.0,csv,csv_000000515,1
data\training_data\516.png,111.25,0.0,csv,csv_000000516,1
data\training_data\517.png,89.375,1.0,csv,csv_000000517,1
data\training_data\518.png,102.5,1.0,csv,csv_000000518,1
data\training_data\519.png,63.125,1.0,csv,csv_000000519,1
data\training_data\520.png,93.75,1.0,csv,csv_000000520,1
data\training_data\521.png,106.875,1.0,csv,csv_000000521,1
data\training_data\522.png,76.25,1.0,csv,csv_000000522,1
data\training_data\523.png,85.0,1.0,csv,csv_000000523,1
data\training_data\524.png,85.0,1.0,csv,csv_000000524,1
data\training_data\525.png,102.5,1.0,csv,csv_000000525,1
data\training_data\526.png,89.375,1.0,csv,csv_000000526,1
data\training_data\527.png,106.875,1.0,csv,csv_000000527,1
data\training_data\528.png,98.125,0.0,csv,csv_000000528,1
data\training_data\529.png,58.75,0.0,csv,csv_000000529,1
data\training_data\530.png,85.0,0.0,csv,csv_000000530,1
data\training_data\531.png,76.25,1.0,csv,csv_000000531,1
data\training_data\532.png,106.875,1.0,csv,csv_000000532,1
data\training_data\533.png,63.125,0.0,csv,csv_000000533,1
data\training_data\534.png,98.125,1.0,csv,csv_000000534,1
data\training_data\535.png,76.25,1.0,csv,csv_000000535,1
data\training_data\536.png,89.375,1.0,csv,csv_000000536,1
data\training_data\537.png,106.875,1.0,csv,csv_000000537,1
data\training_data\538.png,85.0,0.0,csv,csv_000000538,1
data\training_data\539.png,102.5,1.0,csv,csv_000000539,1
data\training_data\540.png,89.375,1.0,csv,csv_000000540,1
data\training_data\541.png,58.75,1.0,csv,csv_000000541,1
data\training_data\542.png,58.75,0.0,csv,csv_000000542,1
data\training_data\543.png,106.875,1.0,csv,csv_000000543,1
data\training_data\544.png,98.125,0.0,csv,csv_000000544,1
data\training_data\545.png,54.375,1.0,csv,csv_000000545,1
data\training_data\546.png,93.75,1.0,csv,csv_000000546,1
data\training_data\547.png,115.625,1.0,csv,csv_000000547,1
data\training_data\548.png,93.75,0.0,csv,csv_000000548,1
data\training_data\549.png,67.5,1.0,csv,csv_000000549,1
data\training_data\550.png,102.5,1.0,csv,csv_000000550,1
data\training_data\551.png,115.625,1.0,csv,csv_000000551,1
data\training_data\552.png,89.375,1.0,csv,csv_000000552,1
data\training_data\553.png,98.125,1.0,csv,csv_000000553,1
data\training_data\554.png,111.25,1.0,csv,csv_000000554,1
data\training_data\555.png,98.125,1.0,csv,csv_000000555,1
data\training_data\556.png,85.0,1.0,csv,csv_000000556,1
data\training_data\557.png,89.375,1.0,csv,csv_000000557,1
data\training_data\558.png,106.875,0.0,csv,csv_000000558,1
data\training_data\559.png,102.5,1.0,csv,csv_000000559,1
data\training_data\560.png,106.875,1.0,csv,csv_000000560,1
data\training_data\561.png,102.5,1.0,csv,csv_000000561,1
data\training_data\562.png,106.875,1.0,csv,csv_000000562,1
data\training_data\563.png,63.125,1.0,csv,csv_000000563,1
data\training_data\564.png,106.875,1.0,csv,csv_000000564,1
data\training_data\565.png,58.75,1.0,csv,csv_000000565,1
data\training_data\566.png,63.125,1.0,csv,csv_000000566,1
data\training_data\567.png,67.5,1.0,csv,csv_000000567,1
data\training_data\568.png,102.5,0.0,csv,csv_000000568,1
data\training_data\569.png,98.125,0.0,csv,csv_000000569,1
data\training_data\570.png,76.25,1.0,csv,csv_000000570,1
data\training_data\571.png,98.125,0.0,csv,csv_000000571,1
data\training_data\572.png,85.0,1.0,csv,csv_000000572,1
data\training_data\573.png,85.0,1.0,csv,csv_000000573,1
data\training_data\574.png,63.125,1.0,csv,csv_000000574,1
data\training_data\575.png,67.5,1.0,csv,csv_000000575,1
data\training_data\576.png,76.25,1.0,csv,csv_000000576,1
data\training_data\577.png,93.75,1.0,csv,csv_000000577,1
data\training_data\578.png,63.125,1.0,csv,csv_000000578,1
data\training_data\579.png,106.875,1.0,csv,csv_000000579,1
data\training_data\580.png,63.125,1.0,csv,csv_000000580,1
data\training_data\581.png,85.0,0.0,csv,csv_000000581,1
data\training_data\582.png,80.625,1.0,csv,csv_000000582,1
